EC_Id|DO_Numero|DO_Domaine|DateLecture
23774|FA2601007|0|2026-07-19 23:11:37.4333333
23776|FA2601017|0|2026-07-19 23:11:37.4366667
23777|FA2601018|0|2026-07-19 23:11:37.4366667
23780|FA2601025|0|2026-07-19 23:11:37.4400000
23781|FA2601026|0|2026-07-19 23:11:37.4433333
23782|FA2601027|0|2026-07-19 23:11:37.4433333
23783|FA2601029|0|2026-07-19 23:11:37.4466667
23786|FA2601035|0|2026-07-19 23:11:37.4500000
23787|FA2601036|0|2026-07-19 23:11:37.4533333
23788|FA2601037|0|2026-07-19 23:11:37.4533333
23790|FR2600142|0|2026-07-19 23:11:37.4566667
23791|FA2601038|0|2026-07-19 23:11:37.4600000
23793|FA2601042|0|2026-07-19 23:11:37.4633333
23798|FA2601049|0|2026-07-19 23:11:37.4666667
23799|FA2601050|0|2026-07-19 23:11:37.4700000
23800|FA2601051|0|2026-07-19 23:11:37.4733333
23801|FA2601052|0|2026-07-19 23:11:37.4733333
23802|FA2601053|0|2026-07-19 23:11:37.4766667
23803|FA2601054|0|2026-07-19 23:11:37.4766667
23804|FA2601055|0|2026-07-19 23:11:37.4800000
23805|FA2601056|0|2026-07-19 23:11:37.4833333
23806|FR2600144|0|2026-07-19 23:11:37.4866667
23807|FR2600145|0|2026-07-19 23:11:37.4900000
23808|FA2601058|0|2026-07-19 23:11:37.4900000
23809|FA2601060|0|2026-07-19 23:11:37.4933333
23810|FA2601061|0|2026-07-19 23:11:37.4966667
23811|FA2601065|0|2026-07-19 23:11:37.5000000
23812|FA2601066|0|2026-07-19 23:11:37.5000000
23813|FR2600147|0|2026-07-19 23:11:37.5033333
23818|FA2601070|0|2026-07-19 23:11:37.5066667
23819|FR2600149|0|2026-07-19 23:11:37.5100000
23820|FA2601071|0|2026-07-19 23:11:37.5133333
23821|FR2600150|0|2026-07-19 23:11:37.5166667
23824|FA2601076|0|2026-07-19 23:11:37.5200000
23825|FA2601077|0|2026-07-19 23:11:37.5200000
23826|FA2601078|0|2026-07-19 23:11:37.5233333
23827|FA2601079|0|2026-07-19 23:11:37.5266667
23828|FA2601080|0|2026-07-19 23:11:37.5300000
23829|FA2601081|0|2026-07-19 23:11:37.5300000
23830|FA2601082|0|2026-07-19 23:11:37.5333333
23831|FA2601083|0|2026-07-19 23:11:37.5366667
23832|FA2601084|0|2026-07-19 23:11:37.5400000
23833|FA2601085|0|2026-07-19 23:11:37.5400000
23834|FA2601093|0|2026-07-19 23:11:37.5433333
23835|FA2601094|0|2026-07-19 23:11:37.5466667
23836|FA2601095|0|2026-07-19 23:11:37.5500000
23837|FA2601096|0|2026-07-19 23:11:37.5533333
23839|FA2601098|0|2026-07-19 23:11:37.5533333
23840|FA2601099|0|2026-07-19 23:11:37.5566667
23841|FR2600151|0|2026-07-19 23:11:37.5600000
23842|FR2600152|0|2026-07-19 23:11:37.5600000
23844|FA2601101|0|2026-07-19 23:11:37.5633333
23845|FA2601102|0|2026-07-19 23:11:37.5666667
23846|FA2601106|0|2026-07-19 23:11:37.5700000
23847|FA2601107|0|2026-07-19 23:11:37.5700000
23848|FA2601108|0|2026-07-19 23:11:37.5733333
23849|FA2601109|0|2026-07-19 23:11:37.5766667
23850|FA2601110|0|2026-07-19 23:11:37.5766667
23851|FA2601111|0|2026-07-19 23:11:37.5800000
23852|FA2601112|0|2026-07-19 23:11:37.5833333
23854|FA2601116|0|2026-07-19 23:11:37.5833333
23855|FA2601117|0|2026-07-19 23:11:37.5866667
23856|FA2601121|0|2026-07-19 23:11:37.5900000
23857|FA2601122|0|2026-07-19 23:11:37.5900000
23858|FR2600154|0|2026-07-19 23:11:37.5933333
23859|FR2600155|0|2026-07-19 23:11:37.5966667
23860|FA2601123|0|2026-07-19 23:11:37.5966667
23861|FA2601126|0|2026-07-19 23:11:37.6000000
23862|FA2601129|0|2026-07-19 23:11:37.6033333
23863|FA2601130|0|2026-07-19 23:11:37.6033333
23864|FA2601131|0|2026-07-19 23:11:37.6066667
23866|FA2601133|0|2026-07-19 23:11:37.6100000
23867|FA2601134|0|2026-07-19 23:11:37.6100000
23868|FA2601135|0|2026-07-19 23:11:37.6133333
23869|FA2601136|0|2026-07-19 23:11:37.6166667
23871|FR2600157|0|2026-07-19 23:11:37.6200000
23872|FA2601137|0|2026-07-19 23:11:37.6200000
23873|FA2601138|0|2026-07-19 23:11:37.6233333
23875|FA2601141|0|2026-07-19 23:11:37.6266667
23876|FA2601142|0|2026-07-19 23:11:37.6266667
23877|FA2601143|0|2026-07-19 23:11:37.6300000
23879|FA2601145|0|2026-07-19 23:11:37.6333333
23880|FA2601146|0|2026-07-19 23:11:37.6366667
23881|FA2601148|0|2026-07-19 23:11:37.6400000
23882|FA2601149|0|2026-07-19 23:11:37.6433333
23885|FA2601153|0|2026-07-19 23:11:37.6433333
23886|FR2600158|0|2026-07-19 23:11:37.6466667
23887|FR2600159|0|2026-07-19 23:11:37.6500000
23954|FA2601157|0|2026-07-19 23:11:37.8166667
23955|FA2601161|0|2026-07-19 23:11:37.8200000
23956|FA2601180|0|2026-07-19 23:11:37.8233333
23957|FA2601184|0|2026-07-19 23:11:37.8266667
23979|FA2601195|0|2026-07-19 23:11:37.8333333
24052|FA2601231|0|2026-07-19 23:11:37.9433333
24053|FA2601243|0|2026-07-19 23:11:37.9433333
24100|FA2601316|0|2026-07-19 23:11:37.9933333
24105|FA2601336|0|2026-07-19 23:11:37.9933333
24106|FA2601171|0|2026-07-19 23:11:37.9966667
24107|FA2601186|0|2026-07-19 23:11:38.0000000
24108|FA2601207|0|2026-07-19 23:11:38.0033333
24109|FA2601221|0|2026-07-19 23:11:38.0033333
24110|FA2601241|0|2026-07-19 23:11:38.0066667
24111|FA2601271|0|2026-07-19 23:11:38.0100000
24112|FR2600168|0|2026-07-19 23:11:38.0100000
24114|FA2601319|0|2026-07-19 23:11:38.0166667
24125|FA2601259|0|2026-07-19 23:11:38.0300000
24126|FA2601327|0|2026-07-19 23:11:38.0333333
24127|FA2601152|0|2026-07-19 23:11:38.0366667
24128|FA2601160|0|2026-07-19 23:11:38.0366667
24129|FA2601189|0|2026-07-19 23:11:38.0400000
24130|FA2601214|0|2026-07-19 23:11:38.0433333
24131|FA2601240|0|2026-07-19 23:11:38.0433333
24132|FA2601260|0|2026-07-19 23:11:38.0466667
24133|FA2601276|0|2026-07-19 23:11:38.0500000
24134|FA2601301|0|2026-07-19 23:11:38.0533333
24135|FA2601328|0|2026-07-19 23:11:38.0533333
24136|FA2601357|0|2026-07-19 23:11:38.0566667
24166|FA2601284|0|2026-07-19 23:11:38.1033333
24167|FA2601318|0|2026-07-19 23:11:38.1066667
24168|FA2601348|0|2026-07-19 23:11:38.1066667
24188|FA2601333|0|2026-07-19 23:11:38.1333333
24189|FA2601368|0|2026-07-19 23:11:38.1366667
24191|FA2601338|0|2026-07-19 23:11:38.1433333
24192|FA2601339|0|2026-07-19 23:11:38.1466667
24193|FA2601408|0|2026-07-19 23:11:38.1500000
24194|FA2601421|0|2026-07-19 23:11:38.1500000
24199|FA2601396|0|2026-07-19 23:11:38.1566667
24215|FA2601314|0|2026-07-19 23:11:38.1666667
24216|FR2600180|0|2026-07-19 23:11:38.1700000
24217|FA2601349|0|2026-07-19 23:11:38.1733333
24218|FA2601365|0|2026-07-19 23:11:38.1733333
24219|FA2601387|0|2026-07-19 23:11:38.1766667
24220|FA2601417|0|2026-07-19 23:11:38.1766667
24221|FR2600189|0|2026-07-19 23:11:38.1800000
24222|FA2601436|0|2026-07-19 23:11:38.1833333
